network_size,centrality_measure,base_network,10rem_nodes_mean,10rem_nodes_SD,10rem_edges_mean,10rem_edges_SD,10rempropor_edges_mean,10rempropor_edges_SD,10add_edges_mean,10add_edges_SD,30rem_nodes_mean,30rem_nodes_SD,30rem_edges_mean,30rem_edges_SD,30rempropor_edges_mean,30rempropor_edges_SD,30add_edges_mean,30add_edges_SD
4096,degree,Dolphins,0.933398,0.010259,0.933215,0.002573,0.950261,0.002009,0.916196,0.002937,0.820635,0.013761,0.819228,0.004744,0.861718,0.003431,0.803199,0.004073
8192,degree,Dolphins,0.935369,0.007175,0.935429,0.001814,0.952102,0.001452,0.915804,0.002117,0.825627,0.010104,0.825361,0.003244,0.86545,0.002382,0.80296,0.002872
8,eigenvector,Dolphins,0.7607654323,0.3872730322,0.7422902008,0.1464270928,0.7277792982,0.136461347,0.8863654542,0.1103850217,0.579222355,0.5100994643,0.6158951087,0.2346441646,0.5763663165,0.2419674519,0.7401166449,0.1763555354
16,eigenvector,Dolphins,0.7980464993,0.1551423453,0.7753356172,0.08374568572,0.7506075371,0.08461157677,0.8587044562,0.08390274293,0.6452716805,0.2582918329,0.5818294429,0.1398965852,0.5379238552,0.1630223931,0.7123870611,0.1089605664
32,eigenvector,Dolphins,0.8328469169,0.1995564265,0.7976181509,0.0656067326,0.7582887863,0.06099248757,0.934263396,0.04327011441,0.7024221827,0.248327287,0.6183389703,0.08715443585,0.5467910452,0.08893115945,0.8631151493,0.05438217335
64,eigenvector,Dolphins,0.8026113425,0.1542638033,0.756817513,0.05228411078,0.714158984,0.0542466732,0.8488862019,0.0374994092,0.5879157295,0.2125538044,0.5355874155,0.07261321807,0.4279552834,0.08366028285,0.6982497481,0.04679310522
128,eigenvector,Dolphins,0.8558695705,0.1061040594,0.8458769152,0.02327010101,0.8181138199,0.02691106764,0.9280469179,0.01938170027,0.6871373823,0.1365093108,0.6688582451,0.0362097696,0.6003080205,0.04175173732,0.8323054632,0.02552213816
256,eigenvector,Dolphins,0.8665226145,0.1177068779,0.8417661543,0.02140965811,0.7869246101,0.02378941961,0.944163812,0.01126046272,0.6855181312,0.1619506375,0.6462344114,0.02676607264,0.5350154654,0.03272252968,0.868000137,0.01562612024
512,eigenvector,Dolphins,0.8490008708,0.1160113901,0.8368034091,0.01558747272,0.7707595036,0.02294700309,0.9434358497,0.008592854374,0.6593246263,0.1552994443,0.631863121,0.02089879002,0.4903341911,0.03290351051,0.8677302599,0.01072735017
1024,eigenvector,Dolphins,0.8619184498,0.1005485604,0.8493179061,0.01117008292,0.7654843892,0.01612347948,0.955907925,0.005080835403,0.6617721539,0.1405557975,0.6453727387,0.01501044885,0.4750739781,0.02016561185,0.8931507893,0.00711847931
